Month,Weekday,Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,TRY,AUD,BRL,CAD,CNH,HKD,IDR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,INR
7,5,2009-07-23,1.4229,94.33551198,1.374516832,18.00899571,5.232412678,1.651270744,190.6388362,2.986857826,2.976315974,7.559702017,1.068451753,6.272401434,1.488509382,0.818888122,1.89451121,1.096774194,6.830978987,7.75001757,10027.45801,1250.305714,13.19003444,3.540023895,0.659391075,48.08911378,1.441000773,33.98481973,7.693513248,48.45034788
7,4,2009-07-22,1.4191,93.36198999,1.378197449,18.19815376,5.246846593,1.640957447,191.3536749,2.99823832,2.984144881,7.615601438,1.068564583,6.285674019,1.497216546,0.81300487,1.901839194,1.10661687,6.830596857,7.749982383,10088.60545,1252.441688,13.26798675,3.553026566,0.655261578,47.96349799,1.443168205,34.01522091,7.756253964,48.52018885
7,3,2009-07-21,1.4223,94.28390635,1.375096674,18.15017929,5.235463686,1.643707385,190.747381,2.989875554,2.978837095,7.658370245,1.067707235,6.293679252,1.501792871,0.815632527,1.899036771,1.103072488,6.830696759,7.750052731,10055.38916,1247.409126,13.26000141,3.542009421,0.657042546,47.92308233,1.44069465,33.99493778,7.845531885,48.43985095
7,2,2009-07-20,1.4217,94.5628473,1.375677006,18.17401702,5.237532531,1.652947332,191.9532954,3.02314131,2.981641697,7.738833791,1.069001899,6.33642822,1.510585918,0.811936037,1.907716115,1.104452416,6.831117676,7.750158261,9990.068228,1246.683548,13.21502427,3.541534782,0.654738878,47.92923964,1.441161989,34.01491173,7.947457269,48.20496589
7,6,2009-07-17,1.409,93.72604684,1.38807665,18.3946061,5.2841022,1.628336993,194.6061036,3.077004968,3.014549326,7.840738112,1.07828247,6.384669979,1.527679205,0.799614097,1.937047551,1.116678495,6.831724627,7.750035486,10177.46629,1263.733144,13.6100071,3.565507452,0.643849388,47.95386799,1.450532292,34.06032647,8.100780696,48.73030518
7,5,2009-07-16,1.413,93.8641189,1.384147205,18.30219391,5.26935598,1.6447445,193.0785563,3.036093418,2.994550602,7.794409059,1.072469922,6.370488323,1.526539278,0.803662837,1.930573248,1.117268224,6.831280962,7.750318471,10124.22505,1270.665251,13.57600849,3.571479122,0.646622735,47.9398443,1.450884643,34.06227884,8.108634112,48.67020524
7,4,2009-07-15,1.4089,93.38491021,1.388175172,18.38313578,5.284477252,1.642840485,193.9456313,3.044928668,2.992760309,7.789481156,1.07736532,6.401447938,1.534885372,0.802746282,1.949889985,1.122364966,6.831570729,7.750301654,10132.50053,1276.123217,13.68698985,3.563489247,0.64687787,47.9097168,1.452196749,34.07622968,8.151181773,48.63013699
7,3,2009-07-14,1.3991,93.1598885,1.397898649,18.59338146,5.321849761,1.631508367,197.1195769,3.113215639,3.013723108,7.842541634,1.083482239,6.458080194,1.539561146,0.790943524,1.968193839,1.144878851,6.832892574,7.750410978,10209.64191,1297.927239,13.67500536,3.586519906,0.636301619,48.14666571,1.458366092,34.13480094,8.19769852,48.96504896
7,2,2009-07-13,1.3975,92.32915921,1.399499106,18.62468694,5.32744186,1.6103941,198.8980322,3.149910555,3.022397138,7.908264758,1.082862254,6.490161002,1.552844365,0.775957801,1.992844365,1.162003578,6.832701252,7.750125224,10239.77818,1310.805009,13.70847943,3.602003578,0.623689026,48.30626118,1.46568873,34.15527728,8.288729875,49.08980322
7,6,2009-07-10,1.3901,92.23077476,1.40694914,18.72527156,5.3568808,1.62016317,199.6259262,3.14653622,3.032875333,7.914682397,1.089130278,6.53478167,1.556434789,0.774860647,2.02028631,1.166247033,6.832817783,7.750233796,10196.46788,1285.439896,13.68987843,3.577512409,0.624764045,48.21667506,1.462556651,34.0853176,8.202503417,48.79001511
